Key,Korean,English
hrroom,HR 룸,HR Room
manufacturebuildingtop,작업 건물,Manufacture Building
runmanufacturebuildingname,,
runmanufacturebuildingdesc,,
runinputmaterials,,
upgrade2,업그레이드,Upgrade
runbeforeupgradenum2,,
runafterupgradenum2,,
maxnumber,최대 개수,Max Count
runupgradename,이동 속도,Movement Speed
runbeforeupgradenum,,
runafterupgradenum,,
upgrade,업그레이드,Upgrade
runmoneynum,,
playerupgrade,플레이어 업그레이드,Player Upgrade
property,부동산,Property
moenybutton,돈,Money
buybutton,구매,Buy
runrcharactername,,
runchoicebutton1,,
runchoicebutton2,,
runchoicebutton3,,
runchoicebutton4,,
choicequestion,선택 질문,Choice Question
runlcaractername,,
runchatwindow,,
logbutton,로그,Log
skipbutton,건너뛰기,Skip
upgradebutton,업그레이드,Upgrade
workername,작업자 이름,Worker Name
workertop,작업자,Worker
workerlevenum,,
workerleve,작업자 레벨,Worker Level
productspeed,생산 속도,Production Speed
statuseffect,상태 효과,Status Effect
itemlabel,,
runworkername,,
runworkerlevenum,,
runworkerleve,,
runupgrademoneynum,,
runmoneybutton,,
runbuildingname,,
runmaterials,,
runbuildingcount,,
runconstellation,,
runchoicequestion,,
runlevelnum,,
runproductspeed,,
runstatuseffect,,
setting,설정,Settings
supportbutton,지원,Support
emergencyescape,긴급 탈출,Emergency Escape
bgm,배경음,BGM
sfx,효과음,SFX
vibration,진동,Vib
touchinfohud(clone),,
hirebutton,,
(tmp),,
tmpstagename,,
carrycapacity,운반 수량,Carry Capacity
movementspeed,이동 속도,Movement Speed
,,
# CJM Buildings - Harvest & Manufacture (auto-added),,
,,
,,
runworkertitle,,
runworkerdescription,,
workerlevel,일꾼 레벨,Worker Level
movespeedlabel,이동 속도,Movement Speed
runworkermovespeednum,,
capacitylabel,운송 수량,Carry Capacity
runworkercapacitynum,,
productionlabel,생산 속도,Production Speed
runworkerproductionnum,,
stuntimelabel,기절 시간,Stun Time
runworkerstuntimenum,,
stuntimeunit,S,S
stunchancelabel,기절 확률,Stun Chance
runworkerstunchancenum,,
stunchanceunit,%,%
runmoneybotton,,
# Upgrade Related,,
MaxLevelReached,이미 최대 단계입니다.,Already at maximum level.
MaxLevel,Max Level,Max Level
moneyplus,,
arrow,,
runlevel,,
runworkercost,,
amountupgradename,운반 수량,Carry Capacity
moneyupgradename,흥정,haggle 
rungenerate,,
runinput,,
runbuildingcost,,
runproduct,,
firstbuybutton,구매,Buy
runlstorycharactername,,
runstorychatwindow,,
runrdialoguecharactername,,
runldialoguecharactername,,
rundialoguechatwindow,,
account,계정,Account
hire,고용,Hire
lock,잠금,Lock
contentworkername,직원이름:,Worker:
contentworkerrank,등급:,Rank:
msg_already_have_building,회수 영역에 이미 구매해둔 건물이 있을 때는 건물을 구매할 수 없습니다,You cannot purchase a building when there is already one in the recovery area. 
msg_announce_service_termination,$안녕하세요. \n유니모: 별나무 가꾸기 입니다. \n\n먼저 유니모: 별나무 가꾸기를\n아껴주고 사랑해주신 여러분께\n진심으로 감사의 말씀을 올립니다. \n\n 유니모: 별나무 가꾸기는\n<b>2026년 04월 30일 (목)</b>\n서비스 종료를 하게 되었습니다. \n\n상점을 통해 현금으로 결제한 모든\n인앱 상품은 아이템 수령 및 사용 여부와\n관계없이 전액 환불 처리 될 예정입니다.$,"$Hello. \nThis is ""Unimo: Star Tree Cultivation."" \n\nFirst and foremost, we sincerely thank everyone who has supported and loved Unimo: Star Tree Cultivation. \n\nWe regret to announce that Unimo: Star Tree Cultivation will be officially concluding its service on <b>Thursday, April 30</b>, 2026. \n\nAll in-app products purchased with real money through the store will be fully refunded, regardless of whether the items have been received or used.$"
msg_cannot_purchase_building_holding,손에 뭔가 쥐고 있을 때는 건물을 구매할 수 없습니다,You cannot purchase a building while holding an item. 
msg_not_enough_money,돈이 모자랍니다,Not enough money. 
msg_tutorial_move,화면을 꾹 눌러 <color=#FFA21F>\n조이스틱</color>으로 움직여보세요,Press and hold the screen to move using the <color=#FFA21F>joystick</color>
msg_tutorial_interact,가까이 접근하여\n<color=#FFA21F>대화</color>할 수 있습니다,You can <color=#FFA21F>talk</color> by getting close
msg_tutorial_questSquence01-1,별가루를 모아\n<color=#FFA21F>석상</color>에게 가져다 주세요,Collect stardust and bring it to the <color=#FFA21F>statue</color>
msg_tutorial_questSquence01-2,건물에 가까이 다가가 물건을 \n필요한 곳으로 <color=#FFA21F>운반</color>할 수 있습니다,Approach a building to <color=#FFA21F>carry</color> items where they are needed
msg_tutorial_questSquence02-1,더 많은 <color=#FFA21F>별가루</color>를 만들어 보세요,Try producing more <color=#FFA21F>stardust</color>
msg_tutorial_questSquence02-2,$건물의 <color=#FFA21F>발판</color>을 통해\n원하는 작업을 수행할 수 있습니다$,"$Through the building’s <color=#FFA21F>platform</color>, you can perform the desired tasks$"
msg_tutorial_questSquence03-1,부동산에서 구매한 건물은\n<color=#FFA21F>공터</color>에 건설할 수 있습니다,Buildings purchased from real estate can be constructed on an <color=#FFA21F>empty lot</color>
msg_tutorial_questSquence04-1,수확 건물은 자동으로\n<color=#FFA21F>재료</color>를 생산합니다,Harvest buildings automatically produce <color=#FFA21F>materials</color>
msg_tutorial_questSquence04-2,수확한 재료는 <color=#FFA21F>작업 건물</color>에서 \n변환할 수 있습니다,The harvested materials can be converted at a <color=#FFA21F>work building</color>
msg_tutorial_questSquence05-1,부동산을 통해 건물의 생산 능력을 강화할 수 있습니다,You can enhance the building’s production capacity through real estate.
msg_tutorial_questSquence06-1,석상의 빛에서 알 수 없는 힘이 \n나오고 있습니다,An unknown power is emanating from the light of the statue
msg_tutorial_questSquence06-2,누군가의 도움을 받으면 별가루를 더 쉽게 만들 수 있을 것 같아요,"$With someone’s help, it seems you could make stardust more easily$"
msg_tutorial_questSquence07-1,<color=#FFA21F>일꾼</color>은 스스로 재료를 수확합니다,<color=#FFA21F>Workers</color> harvest materials on their own
msg_tutorial_questSquence07-2,인력사무소에서 일꾼의 능력을 강화할 수도 있습니다,You can also enhance workers’ abilities at the Employment Office.
msg_tutorial_questSquence08-1,남는 재료는 전당포에 팔아 재화를 얻을 수 있습니다.,Surplus materials can be sold at the Pawnshop to earn currency.
msg_tutorial_questSquence08-2,곧 석상이 깨어날 거에요. 별가루를 모아봅시다,The statue will awaken soon. Let’s gather stardust.
msg_tutorial_questSquence09-1,별자리를 통해 리비의 능력을 강화할 수 있습니다,You can enhance Ribby’s abilities through the constellations.
msg_already_have_building,회수 영역에 이미 구매해둔 건물이 있을 때는 건물을 구매할 수 없습니다,You cannot purchase a building when there is already one in the recovery area.
msg_cannot_purchase_building_holding,손에 뭔가 쥐고 있을 때는 건물을 구매할 수 없습니다,You cannot purchase a building while holding an item.
msg_not_enough_money,돈이 모자랍니다,Not enough money.
ui_logout_message1,모든 데이터가 삭제됩니다.  ,Logging out will delete all data
ui_logout_message2,정말 로그아웃 하시겠습니까?,Are you sure you want to log out? 
ui_logout_title,로그아웃,Logout
workerrank,,
productspeedrank,,
effectrank,,
upgradespeedcost,,
upgradecapacitycost,,
curcapacity,,
upgradecapacity,,
curspeed,,
upgradespeed,,
runamountupgrademoneynum1,,
runmoneyupgrademoneynum1,,
runrunupgrademoneynum1,,
cost,,
runrank,,
runproductspeedrank,,
runstatuseffectrank,,
runcurcapacity,,
runupgradecapacity,,
runcurspeed,,
runupgradespeed,,
message,,
logout1,,
logout2,,
logout,,
logoutbutton,로그아웃,Logout
tutorial,,
playerupgradetitle,플레이어,Player
ui_player_upgrade_title,플레이어,Player
# Guest Login Popup,,
ui_guest_login_title,게스트 로그인,Guest Login
ui_guest_login_message1,게스트로 로그인하시겠습니까?,Would you like to log in as a guest?
ui_guest_login_message2,"$게스트 계정은 임시 계정으로, 데이터가 손실될 수 있습니다.$","$Guest accounts are temporary accounts, and data may be lost.$"
ui_guest_login_confirm,게스트로 시작,Start as Guest
ui_guest_login_cancel,취소,Cancel
ui_guest_login_description,$게스트 계정으로 플레이하면 진행사항이 저장되지 않을 수 있습니다. 계정을 생성하시는 것을 권장합니다.$,$Playing as a guest account may not save your progress. We recommend creating an account.$
# Worker Panel,,
ui_unlock_clearquest,퀘스트 「{0}번」 클리어 ,Clear Quest 「{0}」
dummyhirebutton,고용 불가,Not hireable 
dummybuybutton,구매 불가,Unavailable 
unlock,해금 조건,Unlock Condition
npctalkbutton,대화 하기,Talk
gemtitle,보석,Gem
moneytitle,현금,Money
skinroom,스킨 룸,Skin Gallery
characterskinbutton,캐릭터,Character
equipskinbutton,탈 것,Equipment
packagename,광고 제거 패키지,Ad-Free Package
packagedesc,$- 광고 제거$,$- Remove Ads$
getreward,보상 받기,Get Reward
received,획득 완료,Received
gemadtitle,일일 무료 보석,Daily Free Gems
moneyadtitle,일일 무료 현금,Daily Free Money
shop,상점,Shop
guestlogin,게스트로 로그인,Login as Guest
playgameslogin,Google로 로그인,Log in with Google
tapscreen,화면을 터치해주세요!,Tap the screen!
ui_titlescene_download_check,$다운로드 받을 파일이 있는지 확인중…$,$Checking for files to download…$
ui_titlescene_downloading,다운로드 중..,Downloading
portalbutton,지역 이동,Zone change
equipped,장착중,Equipped
owned,보유중,Owned
equip,장착,Equip
notenoughgems,보석 부족,Not enough gems
offlinerewarddesc,${0}시간 동안 {1}시간만큼의 재화를 획득했습니다. 광고를 시청하고 {3}배 더 많은 보상을 획득하세요$,You have earned {1} currency over {0} hours. Watch an ad to receive {3}x more rewards!
premiumbuybutton,프리니엄 고용,Premium Hire
times,5배 받기,Get 5 times
offlinereward,오프라인 보상,Offline Rewards
rewarddescriptiontext,"$누적시간: 약 {0}h, 누적보상:{1}$","$Accumulated Time: about {0}h, Accumulated Rewards: {1}$"
notion,알람,Alert
ui_stage_locked,잠김,Locked
ui_stage_coming_soon,준비중,Coming Soon
ui_google_link,Google 연동,Link Google
ui_google_linked,Google로 연동됨,Linked with Google
